suite,collection
data-r2,algebra
data-r2,ask
data-r2,basic
data-r2,bnode-coreference
data-r2,boolean-effective-value
data-r2,bound
data-r2,cast
data-r2,construct
data-r2,dataset
data-r2,distinct
data-r2,expr-builtin
data-r2,expr-equals
data-r2,expr-ops
data-r2,graph
data-r2,i18n
data-r2,open-world
data-r2,optional-filter
data-r2,optional
data-r2,reduced
data-r2,regex
data-r2,solution-seq
data-r2,sort
data-r2,syntax-sparql1
data-r2,syntax-sparql2
data-r2,syntax-sparql3
data-r2,syntax-sparql4
data-r2,syntax-sparql5
data-r2,triple-match
data-r2,type-promotion
data-sparql11,add
data-sparql11,aggregates
data-sparql11,basic-update
data-sparql11,bind
data-sparql11,bindings
data-sparql11,clear
data-sparql11,construct
data-sparql11,copy
data-sparql11,csv-tsv-res
data-sparql11,delete-data
data-sparql11,delete-insert
data-sparql11,delete-where
data-sparql11,delete
data-sparql11,drop
data-sparql11,entailment
data-sparql11,exists
data-sparql11,functions
data-sparql11,grouping
data-sparql11,json-res
data-sparql11,move
data-sparql11,negation
data-sparql11,project-expression
data-sparql11,property-path
data-sparql11,protocol
data-sparql11,service-description
data-sparql11,service
data-sparql11,subquery
data-sparql11,syntax-fed
data-sparql11,syntax-query
data-sparql11,syntax-update-1
data-sparql11,syntax-update-2
data-sparql11,update-silent
